Itemset,Support,Count,ItemNames
"1284",0.003610,123,"1284 "Pleasant Fancy Canned Oysters"
"880",0.003610,123,"880 "Thresher Spicy Mints"
"341",0.003581,122,"341 "Better Canned Tuna in Water"
"320",0.003581,122,"320 "Excellent Cranberry Juice"
"266",0.003581,122,"266 "Good Imported Beer"
"1353",0.003581,122,"1353 "Carrington Ice Cream Sandwich"
"1104",0.003581,122,"1104 "Mighty Good Monthly Sports Magazine"
"329",0.003581,122,"329 "Better Canned String Beans"
"268",0.003581,122,"268 "Good Chardonnay Wine"
"1409",0.003581,122,"1409 "Sunset Economy Toilet Brush"
"380",0.003581,122,"380 "Moms Low Fat Cole Slaw"
"1041",0.003581,122,"1041 "PigTail Ice Cream"
"344",0.003581,122,"344 "Better Fancy Canned Anchovies"
"731",0.003581,122,"731 "Imagine Popsicles"
"1215",0.003581,122,"1215 "Sphinx English Muffins"
"1259",0.003581,122,"1259 "Skinner Apple Juice"
"223",0.003581,122,"223 "Best Choice Fudge Cookies"
"794",0.003581,122,"794 "Ebony Corn on the Cob"
"374",0.003581,122,"374 "Moms Chicken Hot Dogs"
"1370",0.003581,122,"1370 "Hilltop Apricot Shampoo"
"250",0.003581,122,"250 "Best Choice Golden Raisins"
"733",0.003581,122,"733 "Imagine Frozen Chicken Wings"
"392",0.003581,122,"392 "Urban Egg Substitute"
"1182",0.003581,122,"1182 "Horatio Apple Fruit Roll"
"1382",0.003581,122,"1382 "Sunset Plastic Forks"
"455",0.003581,122,"455 "Red Wing Glass Cleaner"
"348",0.003552,121,"348 "Better Rice Soup"
"1416",0.003552,121,"1416 "Gauss Monthly Auto Magazine"
"1217",0.003552,121,"1217 "Sphinx Muffins"
"1333",0.003552,121,"1333 "Carrington Frozen Chicken Breast"
"928",0.003552,121,"928 "BBB Best Apple Butter"
"334",0.003552,121,"334 "Better Noodle Soup"
"305",0.003552,121,"305 "Super Apple Jam"
"1347",0.003552,121,"1347 "Carrington Beef TV Dinner"
"879",0.003552,121,"879 "Thresher Bubble Gum"
"924",0.003552,121,"924 "BBB Best Strawberry Jelly"
"973",0.003552,121,"973 "Just Right Fancy Canned Oysters"
"1287",0.003552,121,"1287 "Toucan Canned Mixed Fruit"
"803",0.003552,121,"803 "Ebony Lettuce"
"165",0.003552,121,"165 "Ship Shape Seasoned Hamburger"
"753",0.003552,121,"753 "Consolidated Mint Mouthwash"
"762",0.003552,121,"762 "Cormorant Paper Cups"
"849",0.003552,121,"849 "Nationeel Graham Crackers"
"393",0.003552,121,"393 "Big Time Low Fat Waffles"
"1467",0.003552,121,"1467 "Fort West BBQ Potato Chips"
"631",0.003552,121,"631 "Token Cranberry Juice"
"711",0.003552,121,"711 "Imagine Fajita French Fries"
"389",0.003552,121,"389 "Urban Large Brown Eggs"
"754",0.003552,121,"754 "Cormorant 60 Watt Lightbulb"
"350",0.003552,121,"350 "Swell Canned Peaches"
"510",0.003552,121,"510 "Tell Tale Lemons"
"1139",0.003522,120,"1139 "Tri-State Plums"
"310",0.003522,120,"310 "Super Apple Preserves"
"612",0.003522,120,"612 "Landslide Apple Butter"
"715",0.003522,120,"715 "Imagine Frozen Mushroom Pizza"
"492",0.003522,120,"492 "Tell Tale Lettuce"
"1367",0.003522,120,"1367 "Hilltop Conditioning Shampoo"
"1184",0.003522,120,"1184 "Horatio Raspberry Fruit Roll"
"735",0.003522,120,"735 "Consolidated Silky Smooth Hair Conditioner"
"1436",0.003522,120,"1436 "Hermanos Tomatos"
"429",0.003522,120,"429 "Steady Conditioning Shampoo"
"315",0.003522,120,"315 "Excellent Cream Soda"
"363",0.003522,120,"363 "Carlson Cheese Spread"
"505",0.003522,120,"505 "Tell Tale Firm Tofu"
"1056",0.003522,120,"1056 "Bird Call Conditioning Shampoo"
"993",0.003522,120,"993 "Even Better Large Curd Cottage Cheese"
"518",0.003522,120,"518 "Tell Tale Sweet Onion"
"388",0.003522,120,"388 "Urban Small Brown Eggs"
"814",0.003522,120,"814 "Ebony Squash"
"1366",0.003522,120,"1366 "Hilltop Deodorant"
"280",0.003522,120,"280 "Great Bagels"
"941",0.003522,120,"941 "Fabulous Strawberry Drink"
"1441",0.003522,120,"1441 "Hermanos Squash"
"602",0.003522,120,"602 "Landslide Vegetable Oil"
"454",0.003522,120,"454 "Red Wing Counter Cleaner"
"303",0.003522,120,"303 "Super Apple Jelly"
"988",0.003522,120,"988 "Even Better Havarti Cheese"
"663",0.003522,120,"663 "Akron Eyeglass Screwdriver"
"946",0.003522,120,"946 "Fabulous Orange Juice"
"1393",0.003522,120,"1393 "Sunset Glass Cleaner"
"1356",0.003493,119,"1356 "Carrington Frozen Corn"
"893",0.003493,119,"893 "Pearl Imported Beer"
"1279",0.003493,119,"1279 "Pleasant Canned Tuna in Water"
"1062",0.003493,119,"1062 "Bird Call 200 MG Ibuprofen"
"313",0.003493,119,"313 "Excellent Mango Drink"
"876",0.003493,119,"876 "Thresher Mint Chocolate Bar"
"470",0.003493,119,"470 "Red Wing Copper Pot Scrubber"
"364",0.003493,119,"364 "Carlson Sharp Cheddar Cheese"
"1427",0.003493,119,"1427 "Hermanos Onions"
"1172",0.003493,119,"1172 "Horatio Salted Pretzels"
"410",0.003493,119,"410 "Big Time Pancake Mix"
"375",0.003493,119,"375 "Moms Pimento Loaf"
"858",0.003493,119,"858 "Nationeel Fondue Mix"
"480",0.003493,119,"480 "Dollar Monthly Home Magazine"
"947",0.003493,119,"947 "Fabulous Cranberry Juice"
"915",0.003493,119,"915 "BBB Best French Roast Coffee"
"1446",0.003493,119,"1446 "Hermanos Golden Delcious Apples"
"1318",0.003493,119,"1318 "Lake Low Fat Cole Slaw"
"1374",0.003493,119,"1374 "Hilltop 200 MG Acetominifen"
"275",0.003493,119,"275 "Great White Bread"
"88",0.003493,119,"88 "Golden Blueberry Waffles"
"1365",0.003493,119,"1365 "Hilltop Toothpaste"
"848",0.003493,119,"848 "Nationeel Lemon Cookies"
"362",0.003493,119,"362 "Carlson Head Cheese"
"421",0.003493,119,"421 "Big Time Frozen Chicken Thighs"
"1331",0.003493,119,"1331 "Carrington Low Fat Waffles"
"1291",0.003493,119,"1291 "Framton City Map"
"281",0.003463,118,"281 "Great Blueberry Muffins"
"97",0.003463,118,"97 "Golden Chicken TV Dinner"
"307",0.003463,118,"307 "Super Creamy Peanut Butter"
"1123",0.003463,118,"1123 "Tri-State Potatos"
"657",0.003463,118,"657 "Bravo Fancy Canned Oysters"
"869",0.003463,118,"869 "Nationeel Grape Fruit Roll"
"624",0.003463,118,"624 "Token Mango Drink"
"387",0.003463,118,"387 "Moms Sliced Chicken"
"95",0.003463,118,"95 "Golden Frozen Carrots"
"1274",0.003463,118,"1274 "Pleasant Chicken Noodle Soup"
"767",0.003463,118,"767 "Cormorant 25 Watt Lightbulb"
"1257",0.003463,118,"1257 "Skinner Orange Juice"
"1337",0.003463,118,"1337 "Carrington Blueberry Waffles"
"349",0.003463,118,"349 "Swell Canned Mixed Fruit"
"1376",0.003463,118,"1376 "Hilltop Dishwasher Detergent"
"411",0.003463,118,"411 "Big Time Grape Popsicles"
"369",0.003463,118,"369 "Carlson Chocolate Milk"
"1335",0.003463,118,"1335 "Carrington Low Fat French Fries"
"1218",0.003463,118,"1218 "Sphinx Bagels"
"750",0.003463,118,"750 "Consolidated Multi-Symptom Cold Remedy"
"230",0.003463,118,"230 "Best Choice No Salt Popcorn"
"1368",0.003463,118,"1368 "Hilltop Extra Moisture Shampoo"
"452",0.003463,118,"452 "Red Wing 75 Watt Lightbulb"
"301",0.003463,118,"301 "Super Apple Butter"
"92",0.003463,118,"92 "Golden Frozen Cheese Pizza"
"1235",0.003463,118,"1235 "Plato Strawberry Jelly"
"456",0.003463,118,"456 "Red Wing 25 Watt Lightbulb"
"276",0.003463,118,"276 "Great Rye Bread"
"394",0.003463,118,"394 "Big Time Orange Popsicles"
"1454",0.003434,117,"1454 "Hermanos Mixed Nuts"
"128",0.003434,117,"128 "Faux Products Multi-Symptom Cold Remedy"
"605",0.003434,117,"605 "Landslide Canola Oil"
"1304",0.003434,117,"1304 "Booker Large Curd Cottage Cheese"
"1372",0.003434,117,"1372 "Hilltop Buffered Aspirin"
"773",0.003434,117,"773 "Cormorant Toilet Paper"
"471",0.003434,117,"471 "Red Wing Economy Toilet Brush"
"1108",0.003434,117,"1108 "Mighty Good Monthly Fashion Magazine"
"948",0.003434,117,"948 "Fabulous Apple Juice"
"460",0.003434,117,"460 "Red Wing Soft Napkins"
"353",0.003434,117,"353 "Black Tie City Map"
"236",0.003434,117,"236 "Best Choice Fondue Mix"
"896",0.003434,117,"896 "Pearl Chablis Wine"
"829",0.003434,117,"829 "Ebony Sweet Onion"
"866",0.003434,117,"866 "Nationeel Apple Fruit Roll"
"405",0.003434,117,"405 "Big Time Apple Cinnamon Waffles"
"761",0.003434,117,"761 "Cormorant Paper Plates"
"483",0.003434,117,"483 "Tell Tale Corn on the Cob"
"212",0.003434,117,"212 "High Top Oranges"
"1387",0.003434,117,"1387 "Sunset AAA-Size Batteries"
"1147",0.003434,117,"1147 "Tri-State Honey Dew"
"661",0.003434,117,"661 "Applause Canned Peaches"
"1349",0.003434,117,"1349 "Carrington Grape Popsicles"
"265",0.003434,117,"265 "Medalist Rice Medly"
"132",0.003434,117,"132 "Denny 60 Watt Lightbulb"
"1520",0.003434,117,"1520 "Top Measure Chardonnay"
"451",0.003434,117,"451 "Red Wing Paper Cups"
"273",0.003434,117,"273 "Good Light Beer"
"1461",0.003434,117,"1461 "Hermanos Oranges"
"1092",0.003434,117,"1092 "High Quality Room Freshener"
"1342",0.003434,117,"1342 "Carrington Frozen Mushroom Pizza"
"1324",0.003434,117,"1324 "Lake Potato Salad"
"787",0.003434,117,"787 "Footnote Seasoned Hamburger"
"1091",0.003434,117,"1091 "High Quality Scented Toilet Tissue"
"786",0.003434,117,"786 "Footnote Extra Lean Hamburger"
"1340",0.003434,117,"1340 "Carrington Frozen Pepperoni Pizza"
"432",0.003434,117,"432 "Steady Apricot Shampoo"
"446",0.003434,117,"446 "Red Wing Plastic Knives"
"1339",0.003405,116,"1339 "Carrington Waffles"
"1390",0.003405,116,"1390 "Sunset 75 Watt Lightbulb"
"920",0.003405,116,"920 "BBB Best Tomato Sauce"
"847",0.003405,116,"847 "Nationeel Potato Chips"
"618",0.003405,116,"618 "Landslide Creamy Peanut Butter"
"423",0.003405,116,"423 "Big Time Lemon Popsicles"
"1128",0.003405,116,"1128 "Tri-State Dried Mushrooms"
"812",0.003405,116,"812 "Ebony Dried Mushrooms"
"1371",0.003405,116,"1371 "Hilltop Childrens Aspirin"
"1251",0.003405,116,"1251 "Skinner Mango Drink"
"332",0.003405,116,"332 "Better Vegetable Soup"
"1444",0.003405,116,"1444 "Hermanos Almonds"
"1110",0.003405,116,"1110 "Tri-State Corn on the Cob"
"1500",0.003405,116,"1500 "Fort West Dried Apricots"
"1178",0.003405,116,"1178 "Horatio Low Fat Chips"
"1173",0.003405,116,"1173 "Horatio Cheese Dip"
"1135",0.003405,116,"1135 "Tri-State Golden Delcious Apples"
"1140",0.003405,116,"1140 "Tri-State Peaches"
"967",0.003405,116,"967 "Just Right Chicken Ramen Soup"
"339",0.003405,116,"339 "Better Canned Peas"
"15",0.003405,116,"15 "Jeffers Grits"
"1369",0.003405,116,"1369 "Hilltop Angled Toothbrush"
"1377",0.003405,116,"1377 "Hilltop Multi-Symptom Cold Remedy"
"1411",0.003405,116,"1411 "Sunset Large Sponge"
"942",0.003405,116,"942 "Fabulous Cream Soda"
"1264",0.003405,116,"1264 "Johnson Grits"
"1432",0.003405,116,"1432 "Hermanos Red Pepper"
"1400",0.003405,116,"1400 "Sunset Toilet Paper"
"1480",0.003405,116,"1480 "Fort West Low Fat Popcorn"
"1453",0.003405,116,"1453 "Hermanos Mandarin Oranges"
"1063",0.003405,116,"1063 "Bird Call 200 MG Acetominifen"
"665",0.003405,116,"665 "Gorilla Low Fat Cottage Cheese"
"188",0.003405,116,"188 "High Top Mushrooms"
"940",0.003405,116,"940 "Fabulous Mango Drink"
"384",0.003405,116,"384 "Moms Sliced Turkey"
"890",0.003405,116,"890 "Discover Spaghetti"
"834",0.003405,116,"834 "Ebony Oranges"
"932",0.003405,116,"932 "BBB Best Apple Jam"
"1223",0.003375,115,"1223 "Plato Hot Chocolate"
"1200",0.003375,115,"1200 "Colossal Manicotti"
"910",0.003375,115,"910 "BBB Best Sesame Oil"
"785",0.003375,115,"785 "Cormorant Screw Driver"
"1435",0.003375,115,"1435 "Hermanos Cauliflower"
"1556",0.003375,115,"1556 "CDR Creamy Peanut Butter"
"951",0.003375,115,"951 "Special Corn Puffs"
"122",0.003375,115,"122 "Faux Products Childrens Aspirin"
"1161",0.003375,115,"1161 "Horatio Fudge Cookies"
"357",0.003375,115,"357 "Carlson Jack Cheese"
"431",0.003375,115,"431 "Steady Angled Toothbrush"
"416",0.003375,115,"416 "Big Time Frozen Cauliflower"
"1143",0.003375,115,"1143 "Tri-State Mixed Nuts"
"367",0.003375,115,"367 "Carlson 2% Milk"
"1450",0.003375,115,"1450 "Hermanos Plums"
"1549",0.003375,115,"1549 "CDR Salt"
"425",0.003375,115,"425 "Steady Tartar Control Toothpaste"
"418",0.003375,115,"418 "Big Time Frozen Corn"
"1225",0.003375,115,"1225 "Plato White Sugar"
"1052",0.003375,115,"1052 "Bird Call Tartar Control Toothpaste"
"853",0.003375,115,"853 "Nationeel Low Fat Popcorn"
"1283",0.003375,115,"1283 "Pleasant Fancy Canned Clams"
"1177",0.003375,115,"1177 "Horatio Chocolate Donuts"
"1211",0.003375,115,"1211 "Portsmouth Light Beer"
"1421",0.003375,115,"1421 "Hermanos Corn on the Cob"
"730",0.003375,115,"730 "Imagine Frozen Peas"
"1102",0.003375,115,"1102 "Genteel Extra Lean Hamburger"
"1226",0.003375,115,"1226 "Plato French Roast Coffee"
"1168",0.003375,115,"1168 "Horatio No Salt Popcorn"
"1389",0.003375,115,"1389 "Sunset Paper Cups"
"1277",0.003375,115,"1277 "Pleasant Canned Peas"
"1448",0.003375,115,"1448 "Hermanos Lemons"
"192",0.003375,115,"192 "High Top Squash"
"680",0.003346,114,"680 "Gorilla Chocolate Milk"
"379",0.003346,114,"379 "Moms Foot-Long Hot Dogs"
"1299",0.003346,114,"1299 "Booker Havarti Cheese"
"437",0.003346,114,"437 "Steady HCL Nasal Spray"
"1197",0.003346,114,"1197 "Musial Mints"
"916",0.003346,114,"916 "BBB Best Decaf Coffee"
"694",0.003346,114,"694 "Cutting Edge Corned Beef"
"19",0.003346,114,"19 "Blue Label Chicken Soup"
"1008",0.003346,114,"1008 "American Cole Slaw"
"371",0.003346,114,"371 "Carlson Whole Milk"
"919",0.003346,114,"919 "BBB Best Corn Oil"
"304",0.003346,114,"304 "Super Grape Jam"
"399",0.003346,114,"399 "Big Time Blueberry Waffles"
"978",0.003346,114,"978 "Symphony Rosy Sunglasses"
"859",0.003346,114,"859 "Nationeel Mini Donuts"
"1521",0.003346,114,"1521 "Top Measure White Zinfandel Wine"
"745",0.003346,114,"745 "Consolidated Buffered Aspirin"
"1417",0.003346,114,"1417 "Gauss Monthly Computer Magazine"
"243",0.003346,114,"243 "Best Choice Dried Apples"
"1373",0.003346,114,"1373 "Hilltop 200 MG Ibuprofen"
"717",0.003346,114,"717 "Imagine Frozen Carrots"
"1295",0.003346,114,"1295 "Booker Jack Cheese"
"1124",0.003346,114,"1124 "Tri-State Cauliflower"
"779",0.003346,114,"779 "Cormorant Bees Wax Candles"
"1541",0.003346,114,"1541 "CDR Corn Oil"
"285",0.003346,114,"285 "Super Hot Chocolate"
"791",0.003346,114,"791 "Excel Monthly Home Magazine"
"1310",0.003346,114,"1310 "Booker Strawberry Yogurt"
"996",0.003346,114,"996 "Even Better Chocolate Milk"
"521",0.003346,114,"521 "Tell Tale Fuji Apples"
"758",0.003346,114,"758 "Cormorant C-Size Batteries"
"1151",0.003346,114,"1151 "Tri-State Tangerines"
"783",0.003346,114,"783 "Cormorant Scissors"
"424",0.003346,114,"424 "Steady Silky Smooth Hair Conditioner"
"1375",0.003346,114,"1375 "Hilltop HCL Nasal Spray"
"864",0.003346,114,"864 "Nationeel Frosted Cookies"
"1100",0.003346,114,"1100 "High Quality Large Sponge"
"1425",0.003346,114,"1425 "Hermanos Beets"
"1281",0.003346,114,"1281 "Pleasant Large Canned Shrimp"
"949",0.003346,114,"949 "Fabulous Apple Drink"
"1486",0.003346,114,"1486 "Fort West Mini Donuts"
"889",0.003346,114,"889 "Discover Manicotti"
"519",0.003317,113,"519 "Tell Tale Cantelope"
"1272",0.003317,113,"1272 "Pleasant Noodle Soup"
"1035",0.003317,113,"1035 "PigTail Chicken TV Dinner"
"1505",0.003317,113,"1505 "Gulf Coast Semi-Sweet Chocolate Bar"
"1189",0.003317,113,"1189 "Horatio Dried Apricots"
"111",0.003317,113,"111 "Golden Frozen Chicken Wings"
"1420",0.003317,113,"1420 "Hermanos Summer Squash"
"841",0.003317,113,"841 "Nationeel Corn Chips"
"1237",0.003317,113,"1237 "Plato Low Fat Apple Butter"
"885",0.003317,113,"885 "Monarch Spaghetti"
"402",0.003317,113,"402 "Big Time Frozen Pepperoni Pizza"
"760",0.003317,113,"760 "Cormorant AAA-Size Batteries"
"1325",0.003317,113,"1325 "Lake Sliced Chicken"
"1399",0.003317,113,"1399 "Sunset Scented Tissue"
"678",0.003317,113,"678 "Gorilla 2% Milk"
"547",0.003317,113,"547 "Fast Fondue Mix"
"1113",0.003317,113,"1113 "Tri-State New Potatos"
"377",0.003317,113,"377 "Moms Low Fat Bologna"
"1474",0.003317,113,"1474 "Fort West Potato Chips"
"1408",0.003317,113,"1408 "Sunset Copper Pot Scrubber"
"1145",0.003317,113,"1145 "Tri-State Sweet Onion"
"155",0.003317,113,"155 "Denny Frying Pan"
"138",0.003317,113,"138 "Denny AAA-Size Batteries"
"449",0.003317,113,"449 "Red Wing AAA-Size Batteries"
"1412",0.003317,113,"1412 "Sunset Screw Driver"
"1220",0.003317,113,"1220 "Sphinx Wheat Bread"
"1386",0.003317,113,"1386 "Sunset 100 Watt Lightbulb"
"1429",0.003317,113,"1429 "Hermanos Shitake Mushrooms"
"570",0.003317,113,"570 "Atomic Mints"
"1443",0.003317,113,"1443 "Hermanos Firm Tofu"
"465",0.003317,113,"465 "Red Wing Room Freshener"
"27",0.003317,113,"27 "Blue Label Beef Soup"
"1415",0.003317,113,"1415 "Gauss Monthly Sports Magazine"
"1392",0.003317,113,"1392 "Sunset Counter Cleaner"
"477",0.003287,112,"477 "Dollar Monthly Sports Magazine"
"1141",0.003287,112,"1141 "Tri-State Broccoli"
"486",0.003287,112,"486 "Tell Tale New Potatos"
"1484",0.003287,112,"1484 "Fort West Cheese Dip"
"707",0.003287,112,"707 "Imagine Frozen Pancakes"
"825",0.003287,112,"825 "Ebony Broccoli"
"1248",0.003287,112,"1248 "Plato Apple Preserves"
"1487",0.003287,112,"1487 "Fort West Beef Jerky"
"317",0.003287,112,"317 "Excellent Cola"
"1083",0.003287,112,"1083 "High Quality 25 Watt Lightbulb"
"252",0.003287,112,"252 "Best Choice Frosted Donuts"
"1401",0.003287,112,"1401 "Sunset Tissues"
"900",0.003287,112,"900 "Pearl Light Beer"
"875",0.003287,112,"875 "Thresher Tasty Candy Bar"
"818",0.003287,112,"818 "Ebony Macintosh Apples"
"1159",0.003287,112,"1159 "Horatio Sugar Cookies"
"1196",0.003287,112,"1196 "Musial Spicy Mints"
"1243",0.003287,112,"1243 "Plato Apple Jam"
"553",0.003287,112,"553 "Fast Frosted Cookies"
"544",0.003287,112,"544 "Fast Avocado Dip"
"958",0.003287,112,"958 "Just Right Canned Yams"
"903",0.003287,112,"903 "Fantastic Rye Bread"
"118",0.003287,112,"118 "Faux Products Conditioning Shampoo"
"531",0.003287,112,"531 "Fast Low Fat BBQ Chips"
"980",0.003287,112,"980 "James Bay City Map"
"107",0.003287,112,"107 "Golden Frozen Corn"
"835",0.003287,112,"835 "Ebony Tangerines"
"1192",0.003287,112,"1192 "Musial Mint Chocolate Bar"
"179",0.003287,112,"179 "High Top Green Pepper"
"264",0.003287,112,"264 "Medalist Thai Rice"
"1438",0.003287,112,"1438 "Hermanos Baby Onion"
"861",0.003287,112,"861 "Nationeel Chocolate Donuts"
"654",0.003287,112,"654 "Bravo Large Canned Shrimp"
"413",0.003287,112,"413 "Big Time Lime Popsicles"
"1313",0.003287,112,"1313 "Lake Pimento Loaf"
"1230",0.003287,112,"1230 "Plato Corn Oil"
"498",0.003287,112,"498 "Tell Tale Tomatos"
"658",0.003287,112,"658 "Bravo Fancy Canned Sardines"
"479",0.003287,112,"479 "Dollar Monthly Computer Magazine"
"822",0.003287,112,"822 "Ebony Fancy Plums"
"1205",0.003287,112,"1205 "Portsmouth Light Wine"
"555",0.003287,112,"555 "Fast Apple Fruit Roll"
"1398",0.003287,112,"1398 "Sunset Soft Napkins"
"817",0.003258,111,"817 "Ebony Almonds"
"1085",0.003258,111,"1085 "High Quality D-Size Batteries"
"696",0.003258,111,"696 "Cutting Edge Sliced Ham"
"546",0.003258,111,"546 "Fast Cheese Dip"
"837",0.003258,111,"837 "Curlew Lox"
"833",0.003258,111,"833 "Ebony Walnuts"
"124",0.003258,111,"124 "Faux Products 200 MG Ibuprofen"
"395",0.003258,111,"395 "Big Time Frozen Chicken Breast"
"159",0.003258,111,"159 "Denny Copper Pot Scrubber"
"1120",0.003258,111,"1120 "Tri-State Elephant Garlic"
"870",0.003258,111,"870 "Nationeel Dried Dates"
"504",0.003258,111,"504 "Tell Tale Limes"
"121",0.003258,111,"121 "Faux Products Apricot Shampoo"
"400",0.003258,111,"400 "Big Time Fajita French Fries"
"359",0.003258,111,"359 "Carlson String Cheese"
"1179",0.003258,111,"1179 "Horatio Sesame Crackers"
"775",0.003258,111,"775 "Cormorant Scented Toilet Tissue"
"740",0.003258,111,"740 "Consolidated Conditioning Shampoo"
"963",0.003258,111,"963 "Just Right Chicken Noodle Soup"
"1093",0.003258,111,"1093 "High Quality Frying Pan"
"1534",0.003258,111,"1534 "CDR Hot Chocolate"
"103",0.003258,111,"103 "Golden Ice Cream"
"1430",0.003258,111,"1430 "Hermanos Lettuce"
"326",0.003258,111,"326 "Best Grits"
"1510",0.003258,111,"1510 "Jardon Ravioli"
